Date,site,IGBPname,Landcover,ID,co2,LE,Rln,Prcp,Pa,Rs,Tavg,VPD,U2,LAI,Albedo,Emiss
2012-5-3,US-UMd,DBF,4,155,406.5465625,9.824491667,340.2375833,7.032,97.9528125,92.65664583,13.88341667,0.277310417,2.981541667,2.622,0.104,0.98472
2012-11-5,AU-Dry,SAV,9,10,408.0854167,45.96684938,441.5833333,0,98.75041667,260.5416667,30.285,2.167210417,1.245,1.4454,0.16798,0.98504
2014-5-15,AU-Whr,EBF,2,24,391.2166667,28.14583333,325.6875,0,100.2420833,127.0625,15.82458333,0.60268125,2.073125,0.71579,0.11626,0.98395
2004-12-27,US-Me1,ENF,1,133,384.0197083,2.789490854,241.881125,0,89.819,26.763875,0.22225,0.057,0.650520833,0.20489,0.061214,0.98725
2004-8-28,IT-BCi,CRO,12,90,377.3877708,57.64697188,339.40425,0,101.5160417,242.3143542,20.9975,1.019291667,2.012895833,0.95802,0.14946,0.985
2012-7-21,FR-Pue,EBF,2,88,389.0291875,84.729479,325.8469167,0,98.20625,338.7209792,21.57229167,1.58928125,3.711479167,1.536,0.1298,0.983
2013-2-20,US-SRG,GRA,10,145,398.0823542,14.16745738,289.1250208,0.254,86.10452083,117.4949792,2.982395833,0.254395833,3.012,0.35006,0.20186,0.97563
2003-3-28,DE-Tha,ENF,1,73,391.9645833,36.62508938,286.8578333,0.1,97.36883333,178.84875,7.598333333,0.201608333,2.800416667,1.1068,0.084,0.98503
2014-11-5,AU-Tum,EBF,2,22,376.0744583,87.87499167,306.5833333,0,87.01333333,254.6666667,13.55375,0.903529167,3.409583333,4.4435,0.11429,0.98249
2007-10-20,US-Me2,ENF,1,134,371.520625,47.24585021,268.471875,2.286,87.06583333,131.0291667,0.145833333,0.13390625,6.55875,2.1244,0.10981,0.98841
2014-6-19,US-Tw4,WET,11,152,405.6998333,137.5979792,349.9601875,0,101.3873125,376.2967292,22.12833333,1.740875,2.6871875,0.82517,0.11214,0.9844
2008-3-17,AU-Ade,WSA,8,4,373.7395833,139.875,428.375,10.934,99.76020833,304.5625,28.2025,1.16685625,1.178125,1.2916,0.15057,0.98535
2009-8-8,IT-Col,DBF,4,94,385.437875,81.10914333,314.3427917,0.2,85.1098125,318.776375,15.98102083,0.549872917,1.928458333,2.3643,0.164,0.98393
2004-3-5,CA-NS6,OSH,7,37,378.0381042,3.367416667,151.110625,0,98.23725,150.621125,-18.93839583,0.07325,2.280916667,0.83313,0.451,0.98687
2014-8-23,US-Twt,CRO,12,153,394.6514167,159.0223333,329.1622917,0,101.0004167,305.352125,19.6739375,0.980020833,3.169291667,0.87176,0.13601,0.98415
2012-9-6,CH-Cha,GRA,10,43,410.230625,79.47357542,357.1630625,0,97.80658333,162.4779583,16.96804167,0.270625,1.572333333,1.4128,0.167,0.984
2004-5-1,US-Me2,ENF,1,134,374.55975,73.68990792,278.7770833,0,87.6085625,295.0854167,16.60833333,1.3146875,3.344791667,1.7422,0.10397,0.98768
2013-4-18,AU-TTE,OSH,7,21,382.19375,1.691580667,359.4583333,0,95.09541667,253.9166667,26.83125,2.92975625,2.662291667,0.33372,0.15263,0.974
2006-6-30,IT-BCi,CRO,12,90,394.7860417,143.6896313,374.5284167,0,101.5145833,272.1600417,26.2275,0.526960417,0.897270833,1.4365,0.16458,0.98463
2005-4-17,US-PFa,MF,5,143,390.4385,39.61790833,279.919625,0,96.56041667,246.689375,12.23625,0.493791667,7.339166667,0.42884,0.11,0.98399
2014-9-25,IT-Col,DBF,4,94,390.4017083,51.87414729,341.2066042,1.6,85.10114583,115.3018125,10.29227083,0.101102083,1.072979167,3.3281,0.147,0.98477
2005-8-5,US-UMB,DBF,4,154,374.7304167,119.4080833,310.28625,0,99.277875,317.8754167,19.90733333,0.988416667,3.983958333,1.9423,0.162,0.98358
2014-5-28,US-Tw3,CRO,12,151,393.3288542,144.0618542,283.55075,0,101.65,374.6172708,18.73875,1.478104167,4.125770833,1.3198,0.15629,0.98508
2012-12-25,US-Tw1,WET,11,149,423.4525208,6.592169083,328.6942708,16.93,101.6569167,16.51464583,5.77625,0.078895833,2.250083333,0.98225,0.10576,0.98469
2007-8-19,US-SRM,WSA,8,146,377.4142292,59.21879167,389.7655208,0,89.00116667,163.907125,25.71583333,1.228854167,1.933604167,0.19991,0.17459,0.974
2010-2-3,US-Whs,OSH,7,158,393.0395,10.87478146,334.1208333,12.827,85.29275,51.51283333,6.1704375,0.097291667,1.752479167,0.20674,0.15895,0.97429
2003-10-19,DK-Sor,DBF,4,76,360.6941667,2.572916667,317.5710833,3.8,100.55625,30.03333333,5.161041667,0.04581875,4.501041667,1.24,0.147,0.985
2014-6-16,US-Ton,WSA,8,148,399.4764375,27.83948542,311.5809583,0,98.71666667,357.4631458,17.8025,1.180854167,3.019479167,0.8853,0.17423,0.98508
2013-1-13,US-Wkg,GRA,10,164,388.0740208,5.073252688,196.0729167,0,84.46675,185.3824792,-1.443395833,0.406791667,2.971916667,0.18022,0.19387,0.9786
2007-3-4,ES-LgS,OSH,7,79,380.7391667,37.9247375,274.2875417,0,91.53075,265.6578125,7.516666667,0.7659,3.149791667,0.51591,0.1,0.98793
2008-9-5,US-Wkg,GRA,10,164,380.7929583,83.13225583,342.1415625,0,84.97914583,309.6301667,25.91791667,2.604416667,2.183395833,0.12467,0.17225,0.97984
2011-4-20,AU-Cpr,SAV,9,6,380.781125,30.89638128,358.2291667,0.4,100.6116667,179.8020833,20.36895833,1.201266667,1.985208333,0.46855,0.14802,0.974
2012-4-1,IT-Ro2,DBF,4,105,403.2590208,17.22839009,330.721625,0.199,98.77979167,254.521125,13.07845833,0.450016667,1.305166667,2.7373,0.1468,0.984
2003-3-27,AU-How,WSA,8,15,376.5604167,106.7018767,414.1666667,0,100.6458333,289.25,27.261875,1.227425,1.977708333,2.3993,0.137,0.984
2013-5-29,AU-How,WSA,8,15,392.4115833,74.55243063,370.0833333,0,100.0510417,165.2083333,26.48145833,0.892902083,1.510208333,1.8195,0.13,0.98447
2008-6-30,AU-Tum,EBF,2,22,347.2049583,29.6969175,282.7916667,8.2,86.74166667,49.5,3.409583333,0.143695833,4.727083333,4.4732,0.1116,0.9826
2014-4-6,US-Me2,ENF,1,134,400.2213958,68.57708333,277.8519375,0.508,87.66814583,242.3413333,6.8923125,0.299520833,5.186104167,2.131,0.11089,0.98846
2008-10-17,ZA-Kru,SAV,9,165,381.1704792,27.78236646,394.1600833,5.08,97.21095833,234.9005625,23.92270833,1.200110417,4.232479167,0.78262,0.16805,0.98504
2009-3-18,AU-Tum,EBF,2,22,373.4896667,96.84531317,267.9166667,0,87.27416667,282.8333333,13.84791667,0.805275,2.28125,3.7947,0.1246,0.98215
2006-6-24,US-Syv,MF,5,147,382.8556667,29.47742521,358.6025,3.85,95.240875,224.1555208,15.916,0.480979167,1.769041667,0.20897,0.128,0.98642
2005-2-16,SD-Dem,SAV,9,119,308.2918333,4.630686667,338.42875,0,94.9829375,254.6982917,26.9175,3.250860417,2.835833333,0.21068,0.29664,0.98486
2007-4-11,IT-Ro2,DBF,4,105,421.0003333,25.72328428,313.5478333,0,100.008875,242.1048958,14.361875,0.63426875,1.386020833,3.0112,0.15871,0.984
2010-6-25,DE-Spw,WET,11,72,388.5211667,94.55810792,365.9511667,0,102.9398542,256.8841875,21.30645833,1.192829167,1.393041667,1.4469,0.156,0.98421
2005-8-31,US-Wi9,ENF,1,163,381.3320444,41.39322563,335.48825,0.5,96.74175,229.151125,13.91085417,0.383347917,1.204916667,0.98593,0.129,0.98712
2006-4-13,US-Wkg,GRA,10,164,378.2236458,3.557708333,294.9625,0,85.28991667,314.00825,21.70895833,2.382125,3.6116875,0.1615,0.21059,0.97951
2003-5-18,CA-SF3,OSH,7,42,368.9978958,29.04553271,283.727125,0,95.23958333,183.0127083,-1.145833333,0.1821875,3.952708333,0.78283,0.092,0.98503
2011-8-27,US-Ha1,DBF,4,130,406.1729167,32.42650646,268.8142083,22,98.291625,133.8079167,20.225,0.271333333,1.286875,2.0355,0.144,0.98427
2007-6-26,US-ARM,CRO,12,125,394.6191667,41.56813396,409.97525,20.8,97.77304167,79.92408333,22.54104167,0.232145833,3.585666667,0.89213,0.18235,0.98525
2004-1-27,US-Ton,WSA,8,148,378.6146042,11.29796438,335.4968333,14.728,99.54583333,25.30647917,9.21375,0.196270833,2.612520833,1.2525,0.12916,0.98471
2005-6-29,CH-Oe2,CRO,12,48,410.7087917,54.69430438,387.8130625,14.54,93.8433125,229.9410417,22.86875,0.796397917,1.25175,1.8111,0.187,0.98421
2011-4-27,US-AR1,GRA,10,121,394.2100625,49.31409167,328.9105,15.41,93.76089583,174.3983125,9.521395833,0.413372917,4.339958333,0.55408,0.18309,0.98194
2008-2-4,ZM-Mon,DBF,4,166,391.0922292,44.69423896,397.438,1.2,89.24445833,103.6668333,20.08014583,0.16774375,2.032333333,1.259,0.1519,0.9849
2005-5-21,IT-Lav,ENF,1,99,378.2470417,68.50753371,293.669875,0,86.46995833,325.8900208,12.85089583,0.284797917,1.242270833,1.1457,0.093,0.98559
2010-7-4,US-AR2,GRA,10,122,394.8687917,94.15272708,428.2092708,7.2,93.5415,202.911875,25.033125,0.3939375,5.85625,0.55224,0.17723,0.9856
2009-10-19,FR-Gri,CRO,12,86,360.7874792,15.97460833,268.0604167,0,99.93125,126.6420208,5.356291667,0.285591667,3.265083333,0.87362,0.137,0.98486
2014-1-4,AU-Stp,GRA,10,20,390.28225,67.64929604,436.328625,2.014,97.93152083,252.4739583,31.242875,1.943566667,2.162041667,0.32368,0.16118,0.982
2006-7-1,DK-Sor,DBF,4,76,358.30625,128.077895,331.0381667,0,102.3583333,334.3916667,17.84229167,0.7426625,3.65125,0.8549,0.19,0.98624
2011-11-30,AU-Dry,SAV,9,10,403.4125,87.89583333,450.8541667,0,98.67791667,325.4375,31.42416667,2.212085417,1.128541667,1.4376,0.15416,0.98501
2006-11-2,IT-Ro1,DBF,4,104,385.5184583,51.19954925,271.165125,0,99.39583333,134.7489375,12.24395833,0.60468125,4.721541667,2.4949,0.12978,0.98462
2006-12-8,US-SRM,WSA,8,146,373.9235625,1.521583333,296.8458333,0,89.38591667,144.7684792,11.86083333,0.879104167,5.9094375,0.53004,0.18799,0.974
2009-9-9,US-Var,GRA,10,156,389.141,1.452666667,342.5029167,0,98.928125,281.7469167,24.6100625,2.416375,1.326708333,0.70461,0.1808,0.98499
2008-6-1,US-Ne1,CRO,12,138,414.8140833,57.93141667,373.2789583,0,97.16520833,328.9635,23.68754167,1.346666667,1.814166667,1.3584,0.19221,0.98469
2014-7-23,IT-Noe,CSH,6,101,388.5350625,19.96320395,371.3591667,0,100.771375,270.0414583,22.228125,0.466310417,1.043125,1.2634,0.087,0.9841
2012-7-6,IT-CA1,DBF,4,91,374.346625,38.8842051,388.4736042,0,98.62783333,321.9150208,23.74645833,1.079329167,1.8255,1.1696,0.199,0.98467
2014-3-13,DE-RuR,GRA,10,68,414.9594583,36.19405196,261.4860208,0,96.84785417,190.6257917,8.505166667,0.4316375,1.963895833,1.2187,0.17,0.98503
2014-3-14,AU-Ync,GRA,10,26,401.1333333,18.60424261,346.6666667,0,99.799375,255.9895833,22.900625,2.0349375,2.23125,0.65088,0.17797,0.98451
2011-4-21,BE-Lon,CRO,12,28,429.3359167,65.39898026,305.4465208,0,99.3229375,245.9506875,18.25575,0.962272917,1.913625,1.0272,0.202,0.98577
2013-10-21,IT-Cp2,EBF,2,95,413.7561875,8.041408938,344.200875,0.126,102.2208333,87.54166667,20.3375,0.288672917,1.764583333,2.9029,0.10987,0.98342
2014-5-4,US-Me2,ENF,1,134,402.176875,82.30220667,301.9875,5.08,86.53379167,248.9216875,4.402979167,0.162666667,5.364541667,2.0428,0.10983,0.98824
2013-9-22,AU-Rig,GRA,10,18,395.1465208,70.01649438,320.4583333,0.8,98.995625,225.6666667,13.72104167,0.445254167,2.861875,1.2218,0.19724,0.98521
2013-12-27,AU-GWW,SAV,9,14,378.7609375,22.43500167,377.0077083,0,95.17625,381.1875,30.445,3.529239583,4.953541667,0.31816,0.12763,0.974
2008-5-29,IT-Ro1,DBF,4,104,396.4392917,31.27566031,358.3395,5.97,99.15833333,111.0270208,21.245625,0.65881875,3.070208333,1.8657,0.18303,0.98414
2011-8-22,US-SRG,GRA,10,145,387.7951667,74.29845833,383.190875,0,87.15333333,229.1427708,28.33916667,2.320375,1.574041667,0.4906,0.17101,0.976
2011-11-23,IT-Ren,ENF,1,103,386.7470833,5.566875,230.9839583,0,82.43375,100.3477083,1.668333333,0.388189583,0.7125,1.041,0.09,0.98513
2009-12-27,US-AR2,GRA,10,122,372.7769583,5.645233542,259.9431667,0,94.74404167,104.3399583,-0.58025,0.166833333,4.343479167,0.45394,0.17315,0.98538
2013-8-19,IT-Isp,DBF,4,97,395.0912083,78.15059,392.8127708,0,98.679375,146.8856667,22.42916667,0.95758125,1.303270833,1.6955,0.14594,0.98415
2008-9-4,CH-Dav,ENF,1,44,348.4398958,109.5070631,344.7481458,3.4,83.2731875,99.96758333,11.610375,0.33769375,3.303020833,0.35489,0.102,0.98646
2007-4-21,IT-Noe,CSH,6,101,385.7654792,53.98206136,332.0385417,0,101.6038125,280.6210417,15.76104167,0.380654167,1.461104167,1.4787,0.081,0.984
2012-2-26,AU-RDF,WSA,8,17,373.3165833,134.7312994,429.1875,2.8,98.354375,247.8541667,26.23645833,0.87531875,1.493041667,1.2407,0.14378,0.98555
2010-3-22,US-SRG,GRA,10,145,398.2221667,39.411,276.9201667,0,87.38860417,294.6983958,16.75104167,1.699833333,2.203604167,0.31536,0.17761,0.97591
2007-4-29,DE-Tha,ENF,1,73,400.440875,35.97168188,293.6541042,0.3,97.76852083,269.2319375,9.836395833,0.558535417,3.176583333,2.552,0.114,0.98467
2012-6-13,AU-Emr,GRA,10,11,385.8635,13.96461854,311.625,0,99.24,187.8541667,14.10479167,0.81350625,2.311875,0.84376,0.14053,0.976
2007-7-29,US-Whs,OSH,7,158,390.6065625,60.963,384.6373333,0,86.11166667,265.4621875,21.86491667,0.9706875,1.341166667,0.20331,0.16115,0.974
2012-8-16,US-Myb,WET,11,137,384.946125,259.0693125,338.8937083,0,101.2212292,352.3586875,19.70291667,0.782979167,5.256395833,1.0625,0.15803,0.98461
